"STATION","NAME","LATITUDE","LONGITUDE","ELEVATION","DATE","AWND","AWND_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES","SNOW","SNOW_ATTRIBUTES","SNWD","SNWD_ATTRIBUTES","TAVG","TAVG_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES","WT01","WT01_ATTRIBUTES","WT02","WT02_ATTRIBUTES","WT03","WT03_ATTRIBUTES","WT04","WT04_ATTRIBUTES","WT05","WT05_ATTRIBUTES","WT06","WT06_ATTRIBUTES","WT08","WT08_ATTRIBUTES"
"USW00013958","AUSTIN CAMP MABRY, TX US","30.3208","-97.7604","204.2","2019-01-01","6.49",",,W","0.00",",,W,2400","0.0",",,W","0.0",",,W",,,"46",",,W","39",",,W","    1",",,W",,,,,,,,,,,,
"USW00013958","AUSTIN CAMP MABRY, TX US","30.3208","-97.7604","204.2","2019-01-02","6.49",",,W","2.34",",,W,2400","0.0",",,W","0.0",",,W",,,"41",",,W","36",",,W","    1",",,W",,,,,,,,,,,,
"USW00013958","AUSTIN CAMP MABRY, TX US","30.3208","-97.7604","204.2","2019-01-03","4.92",",,W","0.24",",,W,2400","0.0",",,W","0.0",",,W",,,"52",",,W","34",",,W","    1",",,W",,,"    1",",,W",,,,,,,,
"USW00013958","AUSTIN CAMP MABRY, TX US","30.3208","-97.7604","204.2","2019-01-04","2.68",",,W","0.00",",,W,2400","0.0",",,W","0.0",",,W",,,"66",",,W","32",",,W","    1",",,W",,,,,,,,,,,,
"USW00013958","AUSTIN CAMP MABRY, TX US","30.3208","-97.7604","204.2","2019-01-05","1.79",",,W","0.00",",,W,2400","0.0",",,W","0.0",",,W",,,"75",",,W","37",",,W",,,,,,,,,,,,,,
"USW00013958","AUSTIN CAMP MABRY, TX US","30.3208","-97.7604","204.2","2019-01-06","4.92",",,W","0.00",",,W,2400","0.0",",,W","0.0",",,W",,,"72",",,W","42",",,W",,,,,,,,,,,,,,
"USW00013958","AUSTIN CAMP MABRY, TX US","30.3208","-97.7604","204.2","2019-01-07","2.91",",,W","0.00",",,W,2400","0.0",",,W","0.0",",,W",,,"77",",,W","59",",,W","    1",",,W",,,,,,,,,,,,
"USW00013958","AUSTIN CAMP MABRY, TX US","30.3208","-97.7604","204.2","2019-01-08","3.80",",,W","0.00",",,W,2400","0.0",",,W","0.0",",,W",,,"77",",,W","53",",,W","    1",",,W","    1",",,W",,,,,,,,,,
"USW00013958","AUSTIN CAMP MABRY, TX US","30.3208","-97.7604","204.2","2019-01-09","5.59",",,W","0.00",",,W,2400","0.0",",,W","0.0",",,W",,,"62",",,W","46",",,W",,,,,,,,,,,,,,
"USW00013958","AUSTIN CAMP MABRY, TX US","30.3208","-97.7604","204.2","2019-01-10","3.13",",,W","0.00",",,W,2400","0.0",",,W","0.0",",,W",,,"60",",,W","42",",,W",,,,,,,,,,,,,,
"USW00013958","AUSTIN CAMP MABRY, TX US","30.3208","-97.7604","204.2","2019-01-11","2.91",",,W","0.32",",,W,2400","0.0",",,W","0.0",",,W",,,"61",",,W","48",",,W","    1",",,W","    1",",,W",,,,,,,,,,
"USW00013958","AUSTIN CAMP MABRY, TX US","30.3208","-97.7604","204.2","2019-01-12","7.16",",,W","0.00",",,W,2400","0.0",",,W","0.0",",,W",,,"61",",,W","44",",,W","    1",",,W","    1",",,W",,,,,,,,,,
